,본문,날짜,리트윗,하트
0,"이건 큰소리안내기 게임에서 멤들 웃기려고 스탶이 분장한거 보고 웃는 부분인데 사실 영상 다보면 멤들 웃는것때매 같이 웃다 잇몸마르는데 우선 두명 웃는 얼굴이 넘 발려서 가져와봄
처음 희준 입꼬리 한쪽 먼저 올라가는거 발림 
두번째 동구씨 무슨 귀여운 애인보듯이 봐여 웃으면서 시선 안놓기",3월 27일,,
1,진짜 개욱겨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ탐복하다 잇몸말라 죽을긋,3월 27일,,1
2,"@Heathen49
 님에게 보내는 답글",3월 27일,,
3,"@jakeunae
 님에게 보내는 답글",3월 27일,,
4,습 정마알~~~ (잇몸만개,3월 27일,,
5,황달 빈혈 등도 잇몸 피부 안구 등 통해서 유의깊게 보라곤 하는데 사실 황달 빈혈이 올 정도면 이미 아이는 많이 아프고 병도 어느정도 진행된 상황임 황달이 피부로 나타날 정도면 정말 응급수준이고. 황달 빈혈 등의 증상이 나타나기 전에 일상생활 관찰에서 변화를 잡아내는 게 가장 바람직하다,3월 27일,,11
6,이랑 잇몸 아파서 신경쓴지 근 일주일째…… 병원가봤지만 해결안되서 더 아픔ㅠ…시박,3월 27일,,
7,"5코 다들 가시내 ,,? 잇몸만개",3월 27일,,1
8,끼발ㅠㅋㅋㅋㅋㅋㅋ지니 막방ㅠㅠ 엔딩 보고 엔믹스 지니야 안돼!!! 했을거 생각하니까 잇몸 건성 김미연됨,3월 27일,14,21
9,"그외에 잇몸 안구 활동성 보행 등 항시 살펴볼 것들은 무궁무진하지만 일단 가장가장 기본이되 집사들이 모르는 다섯 가지만 적어봄
이런 것들을 알아야지 병원가서도 제대로 말할 수 있음 언제부터 밥 안먹었어요? 이러면 언제쯤부턴지도 가물가물한 보호자가 되지 말아야 함",3월 27일,1,11
10,"@NIKE98917
 님에게 보내는 답글",3월 27일,,1
11,"으슬으슬-> 머리아픔 -> 목도칼칼함-> 콜록콜록 -> 입안이 다 터짐 (잇몸이나 입술안쪽이나 입천장 다 헐음) -> 가래/콧물찐득 -> 입술이 바짝바짝마름

감기증상에다가 플러스로 뭔가 더 있어서 더 짜증남",3월 27일,,
12,"@txt_soobinlove
 님에게 보내는 답글",3월 27일,,1
13,잇몸을 잘리는데 60만원까지 내야한다니.. 아흑흑 치과 개시름,3월 27일,,17
14," 당신이 첫 ㅅ1ㅅ를 하게 될 나이 
──────────────────
잇몸님은 30살에 하게 될듯하네요  
https://gaeyou.com/t/?263849",3월 27일,,
15,"오케이... 뜯길지도
근데 실밥은 의외로 안뜯겨요
그 실밥이 달린 잇몸이 뜯어짐녀서 실밥이 풀리는거지 
실은 쥰내강함",3월 27일,,1
16,잇몸아파,3월 27일,,1
17,오늘의 배드 뉴스.....네피가 앞 발로 뭘 했는지 수술 한 잇몸이 부어서 일단 넥카라 함 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ으아아아ㅏㅏ아아아,3월 27일,,5
18,공익트윗: 중간에 줌인 되면서 검은 화면 나와서 잇몸 웃음 하고 있는 나자신과 마주침 주의,3월 27일,,1
19,머리 색이 바뀌었지만 귀여운건 똑같네요  개인적으로 사근사근한 목소리 조아해서 지금 잇몸 마르면서 보는중,3월 27일,,
20,끼발ㅠㅋㅋㅋㅋㅋㅋ지니 막방ㅠㅠ 엔딩 보고 엔믹스 지니야 안돼!!! 했을거 생각하니까 잇몸 건성 김미연됨,3월 27일,14,21
21,"그외에 잇몸 안구 활동성 보행 등 항시 살펴볼 것들은 무궁무진하지만 일단 가장가장 기본이되 집사들이 모르는 다섯 가지만 적어봄
이런 것들을 알아야지 병원가서도 제대로 말할 수 있음 언제부터 밥 안먹었어요? 이러면 언제쯤부턴지도 가물가물한 보호자가 되지 말아야 함",3월 27일,1,11
22,"@NIKE98917
 님에게 보내는 답글",3월 27일,,1
23,"으슬으슬-> 머리아픔 -> 목도칼칼함-> 콜록콜록 -> 입안이 다 터짐 (잇몸이나 입술안쪽이나 입천장 다 헐음) -> 가래/콧물찐득 -> 입술이 바짝바짝마름

감기증상에다가 플러스로 뭔가 더 있어서 더 짜증남",3월 27일,,
24,"@txt_soobinlove
 님에게 보내는 답글",3월 27일,,1
25,그래도 굴러가는거 아니냐!!! 이가 없으면 잇몸!!! 타령할거면 공무원을 존나존나존나 늘려야지. 근데 그건또 안된다며.. ,3월 27일,2,1
26,잇몸이 왤케 아프내..,3월 27일,,
27,"아니 나 사랑니 빼고 실로 사랑니 뺀 잇몸을 꼬맷는데
그 실이 지혼자 자력으로 빠져나와도되는거임?
오늘아침에 하나가 빠졌어그냥 쇽하고
근데하나가 더 빠질거같애 왜이러는거임? 화요일에 치과가기로했는데...치과갔는데 실하나는 주워드셨나요?하면 우뜩함?",3월 27일,,1
28,"@agaC1206
 님에게 보내는 답글",3월 27일,,
29,우...피곤해서 잇몸이 녹아내리는 중 오늘은 좀 빨리자야지,3월 27일,,
30,"안녕하세요?
가장건강한나이17살돈잘버는(여기부터잔인함)백수여성입니다
제가 야오토메가쿠만 보면 자꾸
잇몸이 마르고 광대가 아픕니다
어떻케하면 고칠수잇나요?ㅠㅠ",3월 27일,,
31,아이퓌바아ㅏ알the에잇몸존나하얘아개열받아,3월 27일,6,12
32,"두둥 멀리서부터 반겨주는 은우 으누손 크네들어가자마자 볼콕동미니가 반겨줭 누나 잇몸 마르고 광대 솟구치는 비타민 은우 여기저기 은우 느낄 수 있게 꾸며 주셔서 감사합니댜
#누누바람_타고_동민이가_불어와
#반짝이는_블루빛_은우아일랜드 
#차은우 #CHAEUNWOO",3월 27일,8,17
