,본문,날짜,리트윗,하트
0,비밀인데 내가 치아 미백 시켜줬음,14시간,,2
1,,,,
2,"자이로 이 닦고 
하얀 이 해주면 안될까? 
치아 미백 해주면 안될까? 
아줌마 소원",5월 5일,,
3,치아건강과 치아미백에 좋은 음식 (출처 : 데일리라이프 | 네이버 포스트),5월 5일,,
4,"용승이 치아미백 하는지 궁금하다
물어보고싶다..",5월 5일,,
5,"투더블유 치과성분 동일 셀프 치아미백 2~6주세트 프로그램 (개구기+케이스+한입거즈) [4주세트 +구성품 +미백치약1개 증정] / [6주세트 +구성품+미백치약2개 증정]
https://link.coupang.com/a/mNkQk
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."" #셀프 #치아",5월 5일,,1
6,치아미백 하고싶어졌어,5월 5일,,
7,씨볼 30분짜리 치아미백 스트립 7시간 하고잠 미친놈인가,5월 5일,1,
8,"#홈케어 #치아미백 #미백 #누렁니 #건치 #whitening #teeth #whiteningteeth #beauty #homecare 

해외에서 난리난 치아미백제!
드디어 배송이 왔다!! 처음 사용해보는데 느낌이 좋다~~ 
나도 곧 연예인 이처럼 환해져서 자신있게 웃어야지!

https://s.click.aliexpress.com/e/_AdGcz3",5월 5일,,1
9,"자이로 이 닦고 
하얀 이 해주면 안될까? 
치아 미백 해주면 안될까? 
아줌마 소원",5월 5일,,
10,"@adhdjotgga
 님에게 보내는 답글",5월 4일,,1
11,치아미백 해본 사람 투표해줘 이유도 같이 알려주면 땡큐,5월 4일,,
12,남대문림락 봄팔찌 네일체험단 대전스키샵 욕세육가 광교치아미백 천작낚시대 에오라 니븐스 김지미 울산씽크대 유튜브편집 박물관알바 토르크리미트 보육사 라오스신부 레드클레오 전기관리,5월 4일,,
13,치아미백 가격 양심듸져서 짜증나… 나 치아미백하고싶은디,5월 3일,,1
14,히이이익vs치아미백,5월 3일,2,1
15,치아 미백하고 나왔는데 배고파서 그릭요거트랑 모찌롤? 먹고 있어요 흰색인간 될 듯해요,5월 3일,,5
16,치아건강과 치아미백에 좋은 음식 (출처 : 데일리라이프 | 네이버 포스트),5월 3일,,
17,어제 치아미백하구 잣더니 물먹으니깐 이빨이 너무 시려움 ㅠ,5월 3일,,
18,"@6woo03
 님에게 보내는 답글",5월 2일,,2
19,"와 치아미백 왤케 비쌈 
오늘 간 치과에서는 66이라고 하고
다른데는 55래
이런 띠발르",5월 2일,,2
20,"투더블유 치과성분 동일 셀프 치아미백 2~6주세트 프로그램 (개구기+케이스+한입거즈) [4주세트 +구성품 +미백치약1개 증정] / [6주세트 +구성품+미백치약2개 증정]
https://link.coupang.com/a/mNkQk
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다."" #셀프 #치아",5월 5일,,1
21,치아미백 하고싶어졌어,5월 5일,,
