,본문,날짜,리트윗,하트
0,부정교합 방치하면 구강질환 노출 조기 치아교정 필수 : http://mediup.co.kr/board/index.html?id=free&no=319885…,2020년 2월 25일,,
1,어릴 때 치아교정하고 잘 때만 유지장치 끼고 자는데 어느 순간부터 넘 아파서 병원에 물어보니 성인이 돼서도 잇몸뼈가 자라는 경우가 있다더라고.. 넘 신기 근데 몇 년이 지난 지금 다시 유지장치 끼면 아프기 시작해.. 잇몸뼈가 또 자란걸까 입벌리고 거울 보면 혀밑 잇몸이 비대칭인거 확 보임ㄷㄷ,2020년 2월 25일,,
2,"클리피씨, 세라믹 치아교정 가격 비교하기",,,
3,치아 교정은 제발 제발 조금이라도 어릴때 하세요,2020년 2월 24일,,
4,아놕진짜 왜케 찰떡같이 쓰시는거얘요 리얼리티을 적절하게 버무려서 더좋아벌임ㅋㅋㅋㅋㅋ 그리고 일단 개그코드가 너무잘맞아서 지금 밖에서 잇몸자랑너무했네 아 10년만에 치아교정한 의미를 찾앗어,2020년 2월 24일,,1
5,"다행히 이분한테 받진 않았다,, 근데 교수님이 턱 틀어져있고 오른쪽 턱이랑 어깨근육 뭉쳐있고 또 잘 때 코로 숨쉬는 것 같다고ㅠㅋㅋㅋ 걷기운동 많이 하고 자세 똑바로 하래,, 잘 때 입에 테이프라도 붙여야되나,, 코 때문에 초3부터 중3까지 그거 교정하는 거 끼고서야 치아교정 시작했는데 또 ㅠ",2020년 2월 24일,,
6,"어린시절, 여배우의 깜짝놀랄 과거…치아교정은 ‘신의 한...",2020년 2월 24일,,
7,"아저꿈꿨는데치아교정하러
#RebootX1_2020
치과가니까의사쌤이딱보시더니
#BraveForX1
치아다뽑아버리고틀니장착시킴",2020년 2월 23일,2,2
8,"치아교정(orthodontics)은 치열을 재배열하여 이상적인 심미, 발음, 저작 등의 기능을 회복시켜주는 치료를 말합니다. 턱뼈 자체의 관계까지 교정해줄 수 있는 악교정수술(orthognathic surgery)과 동반되는 경우도 많습니다.",2020년 2월 23일,1,
9,"인스타 진짜 급하게 치아교정 모델을 찾고 있습니다 작작해라! 교정할 생각 없으니까
좌표 잘못 찾은 알고리즘놈아",2020년 2월 22일,,
10,이런사람한테 치아교정을요 덜덜덜,2020년 2월 22일,,
11,어서 돈 모아서 치아교정하고싶다,2020년 2월 22일,,
12,와 치아 교정하고 첨으로 요구르트라는 단걸 먹었는데...진짜 행복해 미치는줄 알았다...,2020년 2월 22일,,4
13,"#서울탑치과병원 #디지털치아교정 
서울탑치과병원은 
최신 장비를 도입하여 보다 정교한 치료뿐 아니라
교정과 원장님께서 1:1맞춤으로 교정시작부터 
끝날때까지 함께 하십니다!

#치아교정 #교정 #강남치과 #강남교정 #강남교정추천 #강남치과추천 #인비절라인 #투명교정
•상담전화 : 02-588-2833",2020년 2월 22일,,
14,"I have a brace on my teeth.
나 치아교정 중이야.",2020년 2월 22일,,
15,"@doskharaas
 님에게 보내는 답글",2020년 2월 22일,,1
16,"포하하 조금 행복하다 
비록 치아교정 12일차지만... 양치는 또하면된다이거야",2020년 2월 22일,,
17,치아교정 아직 발치안하고 약하게 장치만 껴서 줫밥인데 3주뒤에는 내가 줫밥이 되겟지?,2020년 2월 21일,,
18,치아교정함ㅇㅇ,2020년 2월 21일,,
19,"ㅤㅤ ㅤㅤ 

                     ₍₍⁽⁽₎₎⁾⁾

이것보십시오! 맛있는 도넛은 조림이를 춤추게 합니다

                          

하지만 조림이는 더이상 춤추지 않아요
치아교정과충치치료로 도넛을먹을수 없기때문이예요",2020년 2월 21일,2,10
20,아놕진짜 왜케 찰떡같이 쓰시는거얘요 리얼리티을 적절하게 버무려서 더좋아벌임ㅋㅋㅋㅋㅋ 그리고 일단 개그코드가 너무잘맞아서 지금 밖에서 잇몸자랑너무했네 아 10년만에 치아교정한 의미를 찾앗어,2020년 2월 24일,,1
21,"다행히 이분한테 받진 않았다,, 근데 교수님이 턱 틀어져있고 오른쪽 턱이랑 어깨근육 뭉쳐있고 또 잘 때 코로 숨쉬는 것 같다고ㅠㅋㅋㅋ 걷기운동 많이 하고 자세 똑바로 하래,, 잘 때 입에 테이프라도 붙여야되나,, 코 때문에 초3부터 중3까지 그거 교정하는 거 끼고서야 치아교정 시작했는데 또 ㅠ",2020년 2월 24일,,
22,"어린시절, 여배우의 깜짝놀랄 과거…치아교정은 ‘신의 한...",2020년 2월 24일,,
23,"아저꿈꿨는데치아교정하러
#RebootX1_2020
치과가니까의사쌤이딱보시더니
#BraveForX1
치아다뽑아버리고틀니장착시킴",,,
24,투명교정 등 치아교정시 고려해야 할 점은?...감염관리 중요 : http://mediup.co.kr/board/index.html?id=free&no=319559…,2020년 2월 21일,,
