,본문,날짜,리트윗,하트
0,"@_chupiter
 님에게 보내는 답글",4월 18일,,1
1,교정기 때문에 잇몸이 땡땡 부어서 너무 아픔ㅜㅜ 소염제 먹고 있는데 이걸로도 부족한가봐ㅜㅜ,4월 18일,,
2,"아 나 잇몸 마르네
내가 원했던거 바로 이거잖아",,,
3,"@trysmilehahaha
 님에게 보내는 답글",4월 18일,,
4,"@akdrhapple
 님과 
@A_delicioso__
 님에게 보내는 답글",4월 18일,,1
5,서코 그날찾 너무 좋고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비지터는 첫넘버에서 이미지 확 잡고 가야하는데 잘 짜온듯... 전개 중에는 귀엽게 잘하네~ 하면서 보다가 대령님 짜릿해서 마스크 뒤에서 잇몸 만개함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4월 18일,,1
6,한시간동안 웃고있었더니 잇몸마르네...........,4월 18일,,
7,"...그럼 이거 사람 이빨이야...? 이빨을 분실할 수 있는 건가? 아니 그럴 수 있지... 절대 잃어버릴 리가 없는 물건들도 간혹가다 잃어버리기는 하니까... 
이빨을 떨어뜨렸어...? 잇몸에 박혀있는 게 이빨 아닌가...? 길 가다가 떨어뜨릴 수 있는 거였어...?",4월 18일,,28
8,잇몸따가워,4월 18일,,
9,아 연성들 귀여워서 저 잇몸말라요,4월 18일,,2
10,흐아아앙아앙아ㅏ앙 나 사랑니 거 머시기야 그 그거 사랑니 나는데 으악 잇몸이 덜렁거리는거 더 심해져서ㅓ 아주그냥 뚝 떨어지려해ㅐ 살려줘 그 양치할땐 편하겟지만 근데 그거 뚝 하고 떨어지면 아프자나 으앙악ㄱ가ㅏ 살려줘ㅓ 사랑니 진짜 개빡쳐ㅕ,4월 18일,,
11,"@King_God_SoS
 님과 
@moduk_0808
 님에게 보내는 답글",4월 18일,,1
12,"@commu_yeongon
 님에게 보내는 답글",4월 18일,,
13,이빨과 잇몸.. 그 사이 어딘가가 너무 아픔,4월 18일,,
14,"근데 아서를 두고 ""선택이 아닌 당위""라고 하는 거엔 여전히 잇몸이 마르게 됨
그런 뜻이 아닌데,,,, 그 말을 하게 된 상황이,,,,,,, 아버지 저 결혼하겠습니다 이 사람과요인게 너무,,,,,,,,,,,,,댕좋음",4월 18일,,3
15,"@I_hate_p3s__WHM
 님에게 보내는 답글",4월 18일,,
16,요즘 잇몸이 왜이리 아프지,4월 18일,,
17,입안에서 어쩐지 피 맛이 잇몸에 문제 있는 건가아,4월 18일,,
18,잇몸 상태가 영 별로라 치과 가봐야할듯,4월 18일,,2
19,"'복면가왕' 권은비 출격 ""이 없으면 잇몸으로..솔로 열심히 할 것""",4월 18일,,
20,잇몸따가워,4월 18일,,
21,아 연성들 귀여워서 저 잇몸말라요,4월 18일,,2
22,흐아아앙아앙아ㅏ앙 나 사랑니 거 머시기야 그 그거 사랑니 나는데 으악 잇몸이 덜렁거리는거 더 심해져서ㅓ 아주그냥 뚝 떨어지려해ㅐ 살려줘 그 양치할땐 편하겟지만 근데 그거 뚝 하고 떨어지면 아프자나 으앙악ㄱ가ㅏ 살려줘ㅓ 사랑니 진짜 개빡쳐ㅕ,4월 18일,,
23,배주현이 예림이 학교 다닐 때 만날 교복 칼각으로 다려주고 도시락 싸주고 했던 거 생각하면 웃느라 잇몸이 말라버림,4월 18일,26,26
24,"@zolq_o3o4
 님에게 보내는 답글",4월 18일,,
25,"자세히 보니 고양이의 치아라고도 보기 어려운 이빨이다. 개...? 개 이빨도 이러진 않았는데....? 
이빨만 뚫어지게 쳐다보고 있을 때 TV에서 칫솔 광고랑 잇몸약 광고가 흘러나옴. 얘가 뱉은 이빨이랑 광고에 나온 이빨이 비슷하게 생겼네...ㅎ",4월 18일,,33
26,"<메이킹> ※잇몸 마름 주의※ <구필수는 없다> 포스터 촬영 메이킹 영상 (출처 : 스튜디오지니 | 네이버TV) http://naver.me/F0cFGS3z
#정동원",4월 18일,,9
27,아 내 잇몸 왜 말라 정신챙겨라,4월 18일,,5
28,"다들 마스크 벗어도 저는 꿋꿋하게 쓸거에요
내 잇몸 굳이 보여주기 싫어
오글까지 겹치면 얼마나 징그러울싸",4월 18일,,16
29,벌써 태형이 보구싶어서 잇몸이 마르는중,4월 18일,,
30,잇몸 헐은것 너무 싫다 ,4월 18일,,6
31,잇몸만개,4월 18일,,
32,진자 눈마주칠때마다 ^_^ 잇몸웃음 만개함,4월 18일,,
33,"@howtomakeletter
 님에게 보내는 답글",4월 18일,,
34,"@_mae_wp
 님에게 보내는 답글",4월 18일,,1
35,"@dorong_ida
 님에게 보내는 답글",4월 18일,,
36,"나.. 나 왜 이제봤지.. 진짜 오늘 하루 중 너가 유일한 행복이야 하루종일 기분 안 좋다가도 너의 이런 사랑스러운 사진들을 보면 언제 그랬다는 듯이 잇몸 만개하고 웃음밖에 안 나와 그냥 내 삶의 유일한 낙이야 유일한 희망이고 내 생명이야 대니야 사랑해
그리고 그렇게 올라가면 위험해 균쪽아",4월 18일,2,5
37,어쩜 볼때마다 저절로 잇몸미소가 나오지...,4월 18일,,3
38,잇몸 헐은것 너무 싫다 ,4월 18일,,6
39,진자 눈마주칠때마다 ^_^ 잇몸웃음 만개함,4월 18일,,
40,"@howtomakeletter
 님에게 보내는 답글",4월 18일,,
41,"@_mae_wp
 님에게 보내는 답글",4월 18일,,1
42,"@dorong_ida
 님에게 보내는 답글",4월 18일,,
43,"잇몸염증약 1주일치 먹고 안티셉틱 매일 바르며 1주일 만에 병원 갔는데 잇몸 많이 좋아졌음. 스케일링도 물어봤는데 아직 안해도 되고  지금처럼만 유지하면 된대요.
지난 번 버스안에서 꺼이꺼이 울었는데, 오늘은 완전 얌전히(본인은 패닉이겠지만) 잘다녀왔고 집에 오니 마냥좋은 노랑궁뎅이~",4월 18일,,13
44,"말 없이 나타나셔서 마음 찍으시고 달아나시는...ㅋㅌㅋㅌㅌㅌㅌㅋㅋ 아 탐라에 맘요정 넘 많아요 
그리고 제 탐라에 간간히 려언을 쌓아주시는...
체고대는 샘.... 탐라에 려언 들어올 때마다 잇몸 만개한다고요 더 델꼬와주새요",4월 18일,,
45,오늘 치과 온 사유인데 백신 맞은 직후라서 잇몸째기 연기됨,4월 18일,,
46,"오늘 잇몸 째야했던 이유: 
백신맞은 컨디션 저하로 연기하기로",4월 18일,,3
47,"@Qt5Bf
 님에게 보내는 답글",4월 18일,,
48,몽랑이 잘생겼다 어쩌구 언급만 나오면 헤벌쭉 잇몸마른사람됨,4월 18일,1,4
49,"우리 윤기 잇몸만개한거 과질로 보구싶다
대체 몇카냐 2번인가?

#BTS_Butter by #BTS is a song made for everyone to dance along 
@BTS_twt",4월 18일,7,4
50,엄마 잇몸이 너무 무너져서 이를 뽑고 왔대... 안그래도 기분 안 좋아보였는데.. 집에 일찍 갈까?,4월 18일,,
51,"난 사랑을 하지 않는데 왜 사랑니가 3개인걸까?
왜 이놈들은 다 잇몸을 뚫고 나온걸까?",4월 18일,,3
52,배고파....ㅜㅠ 잇몸 째야해,4월 18일,,
53,"나 진통소염제 먹고 완전 살아낫어 기력충만해
이 땜에 아픈게 아니라 잇몸 헐면서 염증생긴 것 땜에 볼 띵띵 부엇던듯...
후 뽑을 때까지만 참자고",4월 18일,,3
54,"로나님이
뻐큐케이드랑
솜사탕케이드그려주셧어요
넘귀엽고웃겨서잇몸폭발함(잘 있습니다)",4월 18일,,12
55,"사랑니: 잇몸붓고 피나고 존나 아프게 해줄게
나: 죽을게 걍",4월 18일,,
56,퇴근길에 마스크에 잇몸 마르는 사람이 생김,4월 18일,,1
57,밥 먹어야하는데 잇몸 절단하러 감 흐엉 어금니 색히 그러게 왜 20+n년이 되도 안 나오는거야 ㅜㅠ,4월 18일,,
58,,,,
59,엄마 잇몸이 너무 무너져서 이를 뽑고 왔대... 안그래도 기분 안 좋아보였는데.. 집에 일찍 갈까?,4월 18일,,
60,"난 사랑을 하지 않는데 왜 사랑니가 3개인걸까?
왜 이놈들은 다 잇몸을 뚫고 나온걸까?",4월 18일,,3
61,배고파....ㅜㅠ 잇몸 째야해,4월 18일,,
62,"로나님이
뻐큐케이드랑
솜사탕케이드그려주셧어요
넘귀엽고웃겨서잇몸폭발함(잘 있습니다)",4월 18일,,12
63,"사랑니: 잇몸붓고 피나고 존나 아프게 해줄게
나: 죽을게 걍",4월 18일,,
64,퇴근길에 마스크에 잇몸 마르는 사람이 생김,4월 18일,,1
65,밥 먹어야하는데 잇몸 절단하러 감 흐엉 어금니 색히 그러게 왜 20+n년이 되도 안 나오는거야 ㅜㅠ,4월 18일,,
66,"@ggyaa88
 님에게 보내는 답글",4월 18일,,
67,"@tsukidayoO_o
 님에게 보내는 답글",4월 18일,,1
68,"가끔은 스케일링 후 잇몸이 더 아프신 분들이 계시네요.
스케일링 후 통증을 호소하는 질문이 있었습니다.
http://goo.gl/IKFZdH",4월 18일,,
69,"둘이 한시간내내 저럴꺼 생각하니까 벌써잇몸마르네 ,,",4월 18일,,12
70,"박우진 7분 56초 내내 귀여워서 잇몸 마름,,",4월 18일,,2
71,"@pixxaspaghetti
 님에게 보내는 답글",4월 18일,,
72,"삽구야. 이 할미 가. 오랜만 에
잇몸이.마르도록 웃
어. 보는 구 나 마스크.쓰고.
있어 서.다행이 다",4월 18일,,2
73,아아아아 잇몸아ㅏㅏ,4월 18일,,
74,자사럽 다 읽었다... 이번에는 딴짓하느라 넘 오래 걸렸네ㅜㅠㅠ 우우 몇번을 봐도 좋아서 현기증 나 갓청게 대한이랑 영현이가 너무 귀여워서 웃다가 잇몸 다 말랐다(바사삭) 행복하자 얘드라 이모는 외전 존버하면서 힘낼게....!!! ㅇ(-<와자뵤,4월 18일,,3
75,치위생사신 어머니가 강조하십니다. 타르는 잇몸건강에 적이랩니다. 치주염에도 직빵이라네요. ##QuitSmoking,4월 18일,,
76,빛자나 셀렌중에 골라달라고했는데 두개를 한번에?!?!?!?!?!!!!!!  심지어 만화를????????? 이거 보자마자 심장 튀어나올뻔 진심 현기증나요 잇몸 말라가는중ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4월 18일,1,8
77,션 손끝부터 발끝까지 잘근잘근 씹어놓는 햄 보고 싶은 5시 50분... 독점욕 드는 동시에 너무 소중해서 마치 솜사탕을 잇몸으로 씹는 것처럼 지근지근 물어야 됨... 근데 뒤쪽 목덜미나 허벅지 안쪽처럼 잘 안 보이는 부분은 있는 힘껏 물어서 기어코 피를 봐야 됨...,4월 18일,1,1
78,밥 먹어야하는데 잇몸 절단하러 감 흐엉 어금니 색히 그러게 왜 20+n년이 되도 안 나오는거야 ㅜㅠ,,,
79,"박우진 7분 56초 내내 귀여워서 잇몸 마름,,",4월 18일,,2
80,"@pixxaspaghetti
 님에게 보내는 답글",4월 18일,,
81,"삽구야. 이 할미 가. 오랜만 에
잇몸이.마르도록 웃
어. 보는 구 나 마스크.쓰고.
있어 서.다행이 다",4월 18일,,2
82,"아놔 저 히포치 특유의 남자형제... 바이브 미치것음
특히 막내 촨솔씨가 형들을 못 견뎌??할 때.... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ반응이 극단적이어서 진짜 너무웃김 덤덤 아기 거북이가 찌그러진 단팥빵처럼 얼굴을 구기거나 반대로 얼굴이 쫙 펴지다못해 잇몸이 만개하거나",4월 18일,34,105
