,본문,날짜,리트윗,하트
0,"@macaAaronQ
 님에게 보내는 답글",4월 13일,,1
1,아 치과 가야될것같은데 무섭다네...,4월 13일,,
2,,4월 13일,,
3,"@aube_0810
 님에게 보내는 답글",4월 13일,,1
4,"투더블유 치과성분 동일 셀프 치아미백 2~6주세트 프로그램 (개구기+케이스+한입거즈) [4주세트 +구성품 +미백치약1개 증정] / [6주세트 +구성품+미백치약2개 증정]
https://link.coupang.com/a/l43mF
""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.""",4월 13일,,
5,"@voUov__vowov
 님에게 보내는 답글",4월 13일,,1
6,"@wpswps778
 님에게 보내는 답글",4월 13일,,
7,"@sahong_timo
 님에게 보내는 답글",4월 13일,,1
8,"@SkYdUd6682
 님에게 보내는 답글",4월 13일,,
9,"최근에 돈나갈때가 너무 많아서... 우울해짐..
치과라던지.....",4월 13일,,4
10,치과 자리 (횡단보도 앞 건물) http://blog.naver.com/marketarea/222700074106…,4월 13일,,
11,"@WF_SALOME
 님에게 보내는 답글",4월 13일,,
12,샤롯데에 치과 차려주세요.,4월 13일,,1
13,슬랙스기장 사모펀드교육 후드공사 은행보안요원 MCI 주류쇼핑몰 넘치고 식이고 오디오믹서기 무선디밍 셀린원피스 음향설비 치과양식 일치 대전국비 달렸던 역술 도서만,4월 13일,,
14,"@SkYdUd6682
 님에게 보내는 답글",4월 13일,,1
15,"@sahong_timo
 님에게 보내는 답글",4월 13일,,
16,"나 내일 치과 갔다가
성심당가서 빵 엄청 사올거야.

다이어트는 남이야기.",4월 13일,,8
17,"@iii110110
 님에게 보내는 답글",4월 13일,,
18,"@furry_sanho
 님에게 보내는 답글",4월 13일,,
19,내일 치과 갔다가 간다.,4월 13일,,1
20,"@sahong_timo
 님에게 보내는 답글",4월 13일,,1
21,"@SkYdUd6682
 님에게 보내는 답글",4월 13일,,
22,"최근에 돈나갈때가 너무 많아서... 우울해짐..
치과라던지.....",4월 13일,,4
23,치과 자리 (횡단보도 앞 건물) http://blog.naver.com/marketarea/222700074106…,4월 13일,,
24,"@WF_SALOME
 님에게 보내는 답글",4월 13일,,
25,현제야 치과 가자,4월 13일,,
26,노예 현제랑 치과 싫어랑 유진 뽕알이 나온다고???,4월 13일,,
27,치과싫어 나오냐고?!?!,4월 13일,,
28,아 어카냐 나 진심 너무너무 바쁜데 지금 치과 장치 하나 떨어져서 반차 써야되게 생겻는데 ㅜ-ㅠ 아니근데 마감일 ** ㅅㅂ 집에서 일하기는 싫은데 돈 안주잔아 ******,4월 13일,,
29,"@Oo12271547
 님에게 보내는 답글",4월 13일,,
30,하 치과다녀왔는데 이빨시리다 이거 괜찮아지는거겠지...,4월 13일,,
31,라바펜 치과인 권남 족발배달창업 허언증 냉혈 슈퍼로브 택배샷 앵글캐스터 저소음청소기 칼라콘 목조주택가격 주방용페인트 테셋할인 튜브간판 감국묘목 랙과피니언 싱글룸,4월 13일,,
