,본문,날짜,리트윗,하트
0,"와 왤케 갖고오고싶은 만화가 많냐

매일 5작품 이상 찾아보니까 달달해서 충치로 치과 골든VVIP회원 되게 생겼네",3월 15일,,1
1,(음.... 가물가물한 연구원 말 생각해봄...) 그래도 충치가 생기면 아프댔는데. (초콜릿 입에 탈탈...),3월 15일,,
2,그로구는 충치 생기지말고 언제나 건강해,3월 15일,,
3,"@gggggaaaaajjjii
 님에게 보내는 답글",3월 15일,,
4,ㅠ 나 충치 개많아ㅠㅜ,3월 15일,,
5,나 이제 치과 끝났다 힘들었어 신경치료 충치치료 근데 웃을 때 금 보인다 어떡하지? 나 이제 활짝 못웃어 다들 저 웃기지 마세요 난 웃음 참는 거 못 하니까 그리고 나 웃을 때 금 보여도 다들 모른척해라 췟,3월 15일,,1
6,"세르주: 흠. 이건 맛있을걸.
시어도어: 너 많이 먹어.
세르주: 형 지금 이 닦은 사람 입에 사탕을 넣었어?
시어도어: 다 먹고 충치 생겨라.",3월 15일,,
7,"ENG│※충치 주의※ 달달한 남자 카이(KAI)가 추는 〈Peaches〉♬ 아는 형님(Knowing bros) 309회 https://youtu.be/uyBATx0VKwo via 
@YouTube
#KAI #KAI_Peaches #Peaches 
@weareoneEXO",3월 15일,,
8,"ENG│※충치 주의※ 달달한 남자 카이(KAI)가 추는 〈Peaches〉♬ 아는 형님(Knowing bros) 309회 https://youtu.be/uyBATx0VKwo via 
@YouTube
#KAI #KAI_Peaches #Peaches 
@weareoneEXO",3월 15일,,1
9,건강검진중... 올해도 치아는 깨끗하다!  충치 하나 없고 진료볼거 없다고 스케일링만하고 끝,3월 15일,,6
10,"@Phoooooooooody
 님과 
@buchimgom
 님에게 보내는 답글",3월 15일,,
11,막 충치 걸릴 것 같고 너무 달고 심장 간질간질 거리고,3월 15일,,
